,companyName,refreshTime,jobName,experience,education,companyNatureName,jobCategory,areaName,announcementUrl
76,华风气象传媒集团有限责任公司,2023-11-02 17:36:28,"气象技术研发,研发工程师",应届生,硕士研究生,公立（国有）,"专职科研岗,企业综合类岗位",北京-北京,https://www.gaoxiaojob.com/announcement/detail/158077.html
25,中国地震局第一监测中心,2023-11-01 17:02:07,"仪器装备部(运维技术部)站网运维技术岗、信息发展部网络运维与信息化建设岗,仪器装备部(运维技术部)专业设备技术岗",应届生,硕士研究生,公立（国有）,"工作人员（技术人员岗类）,工作人员（技术人员岗类）",天津-天津,https://www.gaoxiaojob.com/announcement/detail/157715.html
150,江西赣能股份有限公司,2023-11-01 16:49:29,科研开发岗位,应届生,硕士研究生,公立（国有）,专职科研岗,江西-南昌,https://www.gaoxiaojob.com/announcement/detail/157488.html
160,深圳市坪山区教育局,2023-11-01 16:41:53,"小学信息技术教师,初中信息技术教师,高中信息技术教师",应届生,硕士研究生,公立（国有）,"中小学普通教师岗,中小学普通教师岗,中小学普通教师岗",广东-深圳,https://www.gaoxiaojob.com/announcement/detail/157636.html
192,重庆市气象局,2023-11-01 14:50:30,大数据开发,应届生,硕士研究生,公立（国有）,工作人员（技术人员岗类）,重庆-重庆,https://www.gaoxiaojob.com/announcement/detail/157337.html
20,中国南方电网有限责任公司,2023-10-31 18:51:21,"网络安全调度岗位,电力现货系统及IT平台管理岗位,信息通信业务岗,信息通信业务岗,数字媒体技术岗",应届生,硕士研究生,公立（国有）,"测试/运维/网络支持岗,电力工程师/专业人员岗,通信工程师/专业人员岗,通信工程师/专业人员岗,其他计算机专业人员岗",广东-广州,https://www.gaoxiaojob.com/announcement/detail/157065.html
149,江西省水利科学院#,2023-10-31 17:21:07,计算机科学研究岗,应届生,硕士研究生,公立（国有）,专职科研岗,江西-南昌,https://www.gaoxiaojob.com/announcement/detail/157147.html
198,青岛港湾职业技术学院#,2023-10-30 17:40:00,数据管理员,应届生,硕士研究生,公立（国有）,其他支撑岗,山东-青岛,https://www.gaoxiaojob.com/announcement/detail/156860.html
188,遵义市水利水电勘测设计研究院有限责任公司#,2023-10-24 17:16:36,计算机科学与技术岗,应届生,硕士研究生,公立（国有）,其他计算机专业人员岗,贵州-遵义,https://www.gaoxiaojob.com/announcement/detail/154655.html
65,北京大学第三医院,2023-10-20 17:48:03,工程岗,应届生,硕士研究生,公立（国有）,医务医辅人员,北京-北京,https://www.gaoxiaojob.com/announcement/detail/154115.html
143,武汉市中医医院,2023-10-20 17:47:42,行政科员,应届生,硕士研究生,公立（国有）,医务医辅人员,湖北-武汉,https://www.gaoxiaojob.com/announcement/detail/153857.html
24,中国地震局工程力学研究所#,2023-10-20 17:36:18,"地震工程实验中心运维维护与技术开发、计量与传感器标定实验岗,城市综合防灾研究中心科辅岗,强震动观测中心科辅岗",应届生,硕士研究生,公立（国有）,"实验技术岗,其他科研支撑岗,其他科研支撑岗",北京-北京,https://www.gaoxiaojob.com/announcement/detail/154023.html
18,中国华电集团有限公司,2023-10-20 17:11:51,青年骏才,应届生,硕士研究生,公立（国有）,其他,辽宁-沈阳,https://www.gaoxiaojob.com/announcement/detail/153946.html
33,中国水利电力物资集团有限公司,2023-10-17 16:22:02,"京外单位企业工作人员-中国水利电力物资集团有限公司,在京单位企业工作人员-中国水利电力物资集团有限公司",应届生,硕士研究生,公立（国有）,"企业综合类岗位,企业综合类岗位",天津-天津,https://www.gaoxiaojob.com/announcement/detail/152403.html
190,重庆川仪自动化股份有限公司,2023-10-13 17:26:57,"销售工程师,软、硬件工程师",应届生,硕士研究生,公立（国有）,"销售顾问/商务拓展,其他计算机专业人员岗",重庆-重庆,https://www.gaoxiaojob.com/announcement/detail/151535.html
42,中国科学院电工研究所#,2023-10-12 15:29:17,科研事业编制岗位-中国科学院电工研究所,应届生,硕士研究生,公立（国有）,专职科研岗,北京-北京,https://www.gaoxiaojob.com/announcement/detail/151012.html
19,中国华能集团清洁能源技术研究院有限公司#,2023-10-09 17:33:08,企业工作人员-中国华能集团清洁能源技术研究院有限公司,应届生,硕士研究生,公立（国有）,企业综合类岗位,北京-北京,https://www.gaoxiaojob.com/announcement/detail/149653.html
99,国网冀北电力有限公司,2023-10-08 17:29:58,工作人员,应届生,硕士研究生,公立（国有）,其他制造业专业岗,河北-张家口,https://www.gaoxiaojob.com/announcement/detail/149253.html
170,甘肃省水利水电勘测设计研究院有限责任公司#,2023-09-26 17:51:51,数字化及信息类人才,应届生,硕士研究生,公立（国有）,其他科研支撑岗,甘肃-兰州,https://www.gaoxiaojob.com/announcement/detail/147346.html
43,中国第一汽车集团有限公司,2023-09-14 18:30:21,顶尖人才-中国第一汽车集团有限公司,应届生,硕士研究生,公立（国有）,企业综合类岗位,吉林-长春,https://www.gaoxiaojob.com/announcement/detail/144031.html
62,兴业国信资产管理有限公司,2023-09-14 15:57:33,管理培训生（FinTech方向）,应届生,硕士研究生,公立（国有）,管理培训生/储备干部,上海-上海,https://www.gaoxiaojob.com/announcement/detail/143744.html
34,中国江西国际经济技术合作有限公司,2023-09-14 13:46:54,信息工程师,应届生,硕士研究生,公立（国有）,其他计算机专业人员岗,江西-南昌,https://www.gaoxiaojob.com/announcement/detail/143639.html
122,广东华兴银行,2023-09-14 13:40:31,总行金融科技培训生,应届生,硕士研究生,公私混合,管理培训生/储备干部,广东-广州,https://www.gaoxiaojob.com/announcement/detail/143640.html
44,中国能源建设集团天津电力设计院有限公司,2023-09-11 17:50:10,"桌面开发工程师,web开发工程师",应届生,硕士研究生,公立（国有）,"前后端程序开发岗,前后端程序开发岗",天津-天津,https://www.gaoxiaojob.com/announcement/detail/142165.html
41,中国科学院国家空间科学中心#,2023-09-08 18:01:46,"软/硬件设计师1,有效载荷测试技术研究,科学载荷总体设计,微波遥感器定标及数据处理,嵌入式软件研发（含FPGA、DSP等）,空间信息处理2,空间信息处理1,遥感图像智能处理技术研究,星载高性能计算技术研究,遥感场景数字孪生,载荷研发,GNSS遥感探测仪研制和嵌入式软件设计/测试,卫星地面总体技术",应届生,硕士研究生,公立（国有）,"专职科研岗,专职科研岗,专职科研岗,专职科研岗,专职科研岗,专职科研岗,专职科研岗,专职科研岗,专职科研岗,专职科研岗,专职科研岗,专职科研岗,专职科研岗",北京-北京,https://www.gaoxiaojob.com/announcement/detail/141936.html
36,中国电力工程顾问集团中南电力设计院有限公司,2023-08-30 17:28:31,企业工作人员5,应届生,硕士研究生,公立（国有）,其他计算机专业人员岗,湖北-武汉,https://www.gaoxiaojob.com/announcement/detail/138780.html
50,中国银河金融控股有限责任公司,2023-08-28 17:44:28,中国银河资产“新苗计划”管培生（管理类）,应届生,硕士研究生,公立（国有）,管理培训生/储备干部,北京-北京,https://www.gaoxiaojob.com/announcement/detail/137848.html
158,浙江省白马湖实验室有限公司,2023-08-21 13:51:03,科研人员,应届生,硕士研究生,公立（国有）,专职科研岗,浙江-杭州,https://www.gaoxiaojob.com/announcement/detail/113006.html
191,重庆川仪自动化股份有限公司上海川仪控制系统分公司,2023-08-01 17:50:03,测试工程师,应届生,硕士研究生,公立（国有）,其他计算机专业人员岗,重庆-重庆,https://www.gaoxiaojob.com/announcement/detail/130579.html
10,中国人民大学交叉科学研究院#,2023-07-11 19:50:15,"科研助理,科研助理",应届生,硕士研究生,公立（国有）,"科研助理岗,科研助理岗",北京-北京,https://www.gaoxiaojob.com/announcement/detail/123657.html
134,广西师范大学#,2023-07-10 20:09:54,"科研助理1,科研助理47,科研助理49,科研助理50,科研助理51,科研助理52,科研助理53,科研助理54,科研助理55,科研助理48",应届生,硕士研究生,公立（国有）,"科研助理岗,科研助理岗,科研助理岗,科研助理岗,科研助理岗,科研助理岗,科研助理岗,科研助理岗,科研助理岗,科研助理岗",广西-桂林,https://www.gaoxiaojob.com/announcement/detail/123352.html
155,济南市生态环境局,2023-06-13 15:21:07,"环境管理C,环境管理B",应届生,硕士研究生,公立（国有）,"高层次人才,高层次人才",山东-济南,https://www.gaoxiaojob.com/announcement/detail/115134.html
189,重庆四联测控技术有限公司,2023-05-24 17:51:59,软件设计,应届生,硕士研究生,公立（国有）,前后端程序开发岗,重庆-重庆,https://www.gaoxiaojob.com/announcement/detail/109338.html
0,三亚市教育局,2023-05-08 19:19:33,中学信息技术教师,应届生,硕士研究生,公立（国有）,中小学普通教师岗,海南-三亚,https://www.gaoxiaojob.com/announcement/detail/104159.html
146,江西农业大学#,2023-04-17 18:53:11,"教学岗1-计算机与信息工程学院,教学岗-软件学院",应届生,硕士研究生,公立（国有）,"专职教师/教学科研岗,专职教师/教学科研岗",江西-南昌,https://www.gaoxiaojob.com/announcement/detail/98174.html
138,故宫博物院,2023-04-14 19:53:52,计算机信息化岗位（二）,应届生,硕士研究生,公立（国有）,工作人员（技术人员岗类）,北京-北京,https://www.gaoxiaojob.com/announcement/detail/97850.html
17,中国华录集团有限公司,2023-04-13 18:35:39,智能交互工程师,应届生,硕士研究生,公立（国有）,其他计算机专业人员岗,北京-北京,https://www.gaoxiaojob.com/announcement/detail/97114.html
88,国家中医药管理局,2023-04-13 18:09:46,信息化建设处专业技术岗2,应届生,硕士研究生,公立（国有）,工作人员（技术人员岗类）,北京-北京,https://www.gaoxiaojob.com/announcement/detail/97235.html
135,应急管理部天津消防研究所,2023-04-10 14:29:08,"科技研发岗19—测绘科学与技术、信息与通信工程、控制科学与工程、计算机科学与技术、公安刑事技术图像鉴定等相关专业,科技研发岗20—计算机科学与技术、统计学（理学）、大数据工程",应届生,硕士研究生,公立（国有）,"其他科研支撑岗,其他科研支撑岗",天津-天津,https://www.gaoxiaojob.com/announcement/detail/59279.html
94,国家税务总局山西省税务局,2023-03-29 19:05:52,专技1,应届生,硕士研究生,公立（国有）,工作人员（技术人员岗类）,山西-太原,https://www.gaoxiaojob.com/announcement/detail/93206.html
11,中国人民解放军国防大学#,2023-03-24 17:46:54,教员—KS20230008,应届生,硕士研究生,公立（国有）,专职教师/教学科研岗,北京-北京,https://www.gaoxiaojob.com/announcement/detail/91625.html
136,徐州幼儿师范高等专科学校,2023-01-31 16:55:11,"计算机教师,图书馆工作人员",应届生,硕士研究生,公立（国有）,"专职教师/教学科研岗,图书馆岗",江苏-徐州,https://www.gaoxiaojob.com/announcement/detail/10611.html
